"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15"
"1","yeah","just","one","look","like","want","gonna","guy","okay","new","think","dont","that","your","thing"
"2","well","get","littl","love","feel","come","right","cant","need","back","realli","know","good","got","said"
"3","yes","can","tell","thank","mean","talk","let","even","see","time","shes","john","make","say","never"
"4","night","take","show","god","dorinda","someth","now","parti","right","two","hes","ramona","theyr","sorri","ive"
"5","mean","time","home","hey","there","nice","kid","friend","ill","call","didnt","care","big","wait","way"
"6","last","help","togeth","babi","summer","idea","work","put","mayb","divorc","caus","alway","abbi","give","life"
"7","eat","stuff","bit","great","drink","sit","stop","hous","thought","what","kind","give","name","done","happen"
"8","pleas","write","miss","wow","get","meet","move","still","anyth","real","actual","bethenni","mom","embarrass","year"
"9","rememb","leav","friend","hello","much","busi","tonight","live","will","next","peopl","sell","better","beauti","person"
"10","exact","start","best","hot","just","someon","coach","jule","bye","use","fine","worri","happi","first","lot"
"11","guess","bring","late","amaz","havent","els","basebal","girl","gonna","whole","bad","much","doesnt","second","everi"
"12","food","close","anoth","man","plan","left","charli","stay","like","ask","mani","mad","boyfriend","hit","tri"
"13","delia","clear","made","mmhmm","ball","open","away","bra","find","job","hurt","choos","differ","problem","ever"
"14","total","okay","school","pretti","five","door","everyth","luann","smell","told","hell","say","hand","tri","carol"
"15","readi","everyth","yumbl","much","three","text","way","went","dinner","peopl","month","dare","money","believ","first"
"16","game","week","meepa","there","whatev","everyon","noth","walk","tell","say","around","cri","know","also","seen"
"17","use","fun","turn","wouldnt","saw","lunch","readi","weekend","probabl","front","excit","stay","sex","skinni","keep"
"18","cake","kitchen","will","today","practic","wear","back","sonja","clean","date","day","understand","excus","apolog","upset"
"19","place","found","super","mean","bed","feet","car","invit","head","york","know","that","perfect","yay","youv"
"20","mess","someon","monster","place","thin","break","fing","hampton","breath","citi","screw","comfort","deal","book","day"
